Epoch,WebQuestions,CornellMovieDialog,DatasetForChatbot,Alpaca
1,5.6434,6.0631,6.0498,7.814
2,4.7326,5.4968,5.1339,7.1187
3,4.5713,5.304,4.8767,7.0939
4,4.5038,5.2306,4.7726,7.0782
5,4.4482,5.1664,4.705,7.0577
6,4.3818,5.099,4.6413,7.0127
7,4.3021,5.0309,4.5833,6.8953
8,4.2252,4.9735,4.53,6.7967
9,4.1511,4.9264,4.4816,6.7179
10,4.0735,4.8857,4.4359,6.6502
11,3.9854,4.8468,4.3916,6.5858
12,3.9066,4.8141,4.3469,6.5146
13,3.8287,4.7816,4.3009,6.4313
14,3.7549,4.7538,4.2565,6.3537
15,3.6838,4.7252,4.2147,6.2714
16,3.6159,4.7004,4.1762,6.1824
17,3.5533,4.6765,4.1382,6.079
18,3.4902,4.6527,4.1032,5.987
19,3.4326,4.6316,4.0695,5.9119
20,3.3761,4.6118,4.0367,5.8439
21,3.3185,4.5944,4.0041,5.7752
22,3.2694,4.5749,3.9778,5.7115
23,3.2204,4.558,3.9487,5.6504
24,3.1747,4.5414,3.9213,5.5944
25,3.1262,4.5258,3.8915,5.5358
26,3.0819,4.5115,3.8664,5.4826
27,3.0407,4.4964,3.8418,5.433
28,2.9938,4.4829,3.8153,5.3832
29,2.9535,4.4676,3.7892,5.3354
30,2.9178,4.4548,3.769,5.2855
31,2.8743,4.4428,3.7431,5.2423
32,2.8361,4.4314,3.7199,5.2007
33,2.7984,4.4187,3.6973,5.153
34,2.7639,4.4083,3.6749,5.1096
35,2.7243,4.3959,3.6508,5.0698
36,2.69,4.3836,3.6295,5.0254
37,2.6549,4.3718,3.6071,4.983
38,2.6216,4.3594,3.5848,4.9397
39,2.5861,4.3483,3.5626,4.9021
40,2.5562,4.3352,3.5421,4.8601
41,2.5215,4.3258,3.5196,4.8214
42,2.4898,4.3143,3.4989,4.7804
43,2.4609,4.3017,3.478,4.7432
44,2.428,4.29,3.4579,4.709
45,2.3971,4.2774,3.4363,4.6684
46,2.3637,4.2675,3.4141,4.6305
47,2.3357,4.2538,3.3946,4.6018
48,2.3051,4.2417,3.3736,4.5619
49,2.2766,4.231,3.3531,4.5227
50,2.2476,4.2194,3.3337,4.4931
51,2.2187,4.2082,3.3114,4.4595
52,2.1885,4.196,3.2923,4.4257
53,2.1643,4.1851,3.2705,4.3938
54,2.1376,4.1724,3.2518,4.36
55,2.1105,4.1599,3.23,4.3283
